RecordID,Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date
5684,348061,RHONE RED WINE,PROMESSES DE FRANCE CDR 750 ML - 750ML,750ML,96,13.99,,
5685,89727,LIQUEUR,SOGNO DI SORRENTO CREMA LEMONCELLO LIQ - 750ML,750ML,0,34.99,,
5686,166833,AMERICAN TABLE WINE,SWEETLAND CELLARS TANGO PEACH 1.5L,1.5L,0,18.99,,
5687,54508,TEQUILA,DON JULIO TEQUILA - 70TH ANIV - ART BOX - 750ML,750ML,0,62.99,,
5688,171942,TEQUILA,GRANDE GUAPO HANDCRAFTED REPOSADO 750ML,750ML,0,64.99,,
5689,66117,ITALIAN WHITE WINE,TORRESELLA P/GRIG - 750ML,750ML,0,16.99,,
5690,27618,IMPORTED SCOTCH,J&B RARE - 1.75L,1.75L,174,45.99,,
5691,32001,AMERICAN RED,RED SCHOONER TRANSIT NO3 750ML,750ML,0,35.99,,
5692,41747,NEW ZEALAND,OYSTER BAY MER - 750ML,750ML,0,16.99,,
5693,19550,IMPORTED RUM FLAVORS,CRUZAN RUM - COCONUT - 750ML,750ML,36,10.99,,
5694,30651,DOMESTIC GIN,SEAGRAM'S GIN - EXTRA DRY - 375ML,375ML,648,9.99,,
5695,171894,IMPORTED RUM,HAMPDEN ESTATE GREAT HOUSE RUM 2024 - 750ML,750ML,0,119.99,,
5696,379779,TEQUILA,DON LONDRES TEQUILLA REPOSADO 6/750ML,750ML,0,63.99,,
5697,42655,TEQUILA,CODIGO 1530 MEZCAL ARTESANAL - 750ML,750ML,0,67.99,,
5698,81655,AMERICAN WHITE,R MONDAVI PR SEL CHARD 1.5L,1.5L,0,22.99,,
5699,79472,DOMESTIC VODKA FLAVORS,SMIRNOFF VODKA - CITRUS TW - 1L,1L,0,17.99,,
5700,88833,DOMESTIC BRANDY,CATOCTIN CREEK APPLEJACK - 750ML,750ML,0,24.99,,
5701,32140,IMPORTED GIN,BEEFEATER GIN - 1.75L,1.75L,0,41.99,,
5702,365303,IMPORTED VODKA FLAVORS,ABSOLUT VODKA - PEARS - 750ML,750ML,276,26.99,,
5703,71811,STRAIGHT BOURBON WHISKEY,WOODINVILLE - SINGLE BARREL HUTCH PROOF-9494 - 750ML,750ML,0,71.99,,
5704,708978,SINGLE MALT SCOTCH,GLENFIDDICH BOURBON BARREL RES  14YR SM - 750ML,750ML,282,72.99,,
5705,332302,KOSHER,CARMEL SEL CAB - 750ML,750ML,0,13.99,,
5706,77185,IMPORTED VODKA FLAVORS,KETEL ONE VODKA - CITRON - 750ML,750ML,240,27.99,,
5707,90959,STRAIGHT BOURBON WHISKEY,STRANAHANS EMPIRE RYE CASK 750ML,750ML,0,43.99,,
5708,84913,AMERICAN TABLE WINE,FRANZIA CHIANTI BIB - 5L,5L,0,24.99,,
5709,73680,STRAIGHT BOURBON WHISKEY,ELIJAH CRAIG BOURB W/ OLD FASHION SYRUP AND JIGGER - 750ML,750ML,0,29.99,,
5710,45142,SPANISH/PORTUGUESE,BODEGAS PASO A PASO TEMP - 750ML,750ML,0,14.99,,
5711,11797,STRAIGHT BOURBON WHISKEY,JIM BEAM WHITE - 200ML,200ML,1296,6.99,,
5712,243368,ARGENTINA,CHAKANA CUEVA DE LAS MANOS ORG MALB - 750ML,750ML,0,16.99,,
5713,167594,SPANISH/PORTUGUESE,LUSCO ALBARINO 750ML,750ML,0,28.99,,
5714,42854,SPARKLING,ROEDERER EST BRUT ROSE 750ML,750ML,0,44.99,,
5715,307633,AMERICAN WHITE,LINE 39 CHARD - 750ML,750ML,192,10.99,,
5716,248164,STRAIGHT BOURBON WHISKEY,UNCLE NEAREST SINGLE BARREL WHISKEY 750ML,750ML,0,75.99,,
5717,327860,IMPORTED CORDIALS,GIFFARD CREME DE VIOLETTE - 750ML,750ML,0,39.99,,
