RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability
6673,65161,IMPORTED RUM,PYRAT PLANTERS GOLD XO RES - 750ML,750ML,0,22.99,,,46010,OutofStock
6674,50407,IMPORTED CORDIALS,PERNOD RICARD ANISE - 750ML,750ML,0,35.99,,,46010,OutofStock
6675,88821,STRAIGHT RYE WHISKEY,BLUE RUN KY STRAIGHT HIGH RYE BOURB WHISKEY 111 PROOF - 750ML,750ML,0,107.99,,,46010,OutofStock
6676,335589,ARGENTINA,SANTA JULIA MT RED BLEND RESA - 750ML,750ML,0,14.99,,,46010,OutofStock
6677,89575,VERMOUTH,TRIBUNO DRY VERMOUTH - 1L,1L,0,7.99,,,46010,OutofStock
6678,70750,CHAMPAGNE,CHANDON CALIFORNIA BRUT 24/C - 187ML,187ML,0,7.99,,,46010,OutofStock
6679,574751,DOMESTIC GIN,CONNIPTION KINSHIP GIN - 750ML,750ML,0,34.99,,,46010,OutofStock
6680,54476,DOMESTIC VODKA FLAVORS,DEEP EDDY VODKA - PINEAPPLE - 50ML,50ML,0,1.99,,,46010,OutofStock
6681,64132,IMPORTED GIN,HENDRICK'S GIN 375ML,375ML,0,22.99,,,46010,OutofStock
6682,91230,LIQ BASED RTD,CUTWATER STRAWBERRY WHITE RUSSIAN 6/4 CANS - 12.0Z (4-Pack),4pk,0,12.99,,,46010,OutofStock
6683,234944,TEQUILA,TEQUILA OCHO PLATA - 750ML,750ML,0,39.99,,,46010,OutofStock
6684,91726,TEQUILA,TEREMANA ANEJO TEQUILA 375ML,375ML,0,26.99,,,46010,OutofStock
6685,54509,TEQUILA,DON JULIO TEQUILA - REPOSADO - ART BOX - 750ML,750ML,0,56.99,,,46010,OutofStock
6686,54507,TEQUILA,DON JULIO TEQUILA - BLANCO - ART BOX - 750ML,750ML,0,56.99,,,46010,OutofStock
6687,39985,ASIAN,CHUNGHA RICE WINE 300ML,300ML,0,7.99,,,46010,OutofStock
6688,244017,TEQUILA,TEQUILA OCHO ANEJO - 750ML,750ML,0,65.99,,,46010,OutofStock
6689,344325,FRANCE-OTHER,GRATIEN & MEYER BRUT ROSE CREMANT DE LOIRE - 750ML,750ML,0,22.99,,,46010,OutofStock
6690,89364,IMPORTED VODKA,SVEDKA VODKA 100P - 750ML,750ML,0,12.99,,,46010,OutofStock
6691,246498,TEQUILA,LIBELULA JOVEN TEQUILA 750ML,750ML,0,27.99,,,46010,OutofStock
6692,380815,FRENCH WHITE WINE,LA FIOLE VIOGNIER IGP PAYS DOC 750ML,750ML,0,23.99,,,46010,OutofStock
6693,171772,AMERICAN RED,CAPRICCIO BUBBLY SANGRIA RED - 355ML,355ML,0,3.99,,,46010,OutofStock
6694,47676,IMPORTED CORDIALS,COMBIER LIQ D'ORANGE - 750ML,750ML,0,45.99,,,46010,OutofStock
6695,304986,SPANISH/PORTUGUESE,SEGURA VIUDAS BRUT ROSE - 750ML,750ML,0,14.99,,,46010,OutofStock
6696,50730,DOMESTIC CAN BEER,DOGFISH HEAD (SUMMER) VP 2/12PK CAN - 12.0Z (12-Pack),12pk,0,20.99,,,46010,OutofStock
6697,42650,DOMESTIC CORDIALS,MR BOSTON PEPPERMINT SCHNAPPS 90P - 1L - 1LTR,1LTR,0,5.99,,,46010,OutofStock
6698,51262,NON-ALCOHOLIC MIXERS,Q MIXERS GINGER BEER- GLASS- NA - 4PK - 6.7Z (4-Pack),4pk,0,7.99,,,46010,OutofStock
6699,63837,AMERICAN RED,NOBLE VINES 712 MARQUIS RED BLEND 750ML,750ML,0,12.99,,,46010,OutofStock
6700,82284,ITALIAN WHITE WINE,PIEROPAN SOAVE PIEROPAN - 750ML,750ML,0,18.99,,,46010,OutofStock
6701,246371,IMPORTED GIN,CITADELLE JARDIN D'ETE GIN 750ML,750ML,0,35.99,,,46010,OutofStock
6702,378917,ITALIAN RED WINE,CA' DEL BAIO DOLCETTO D'ALBA LODOLI - 750ML,750ML,0,21.99,,,46010,OutofStock
6703,246500,IMPORTED GIN,CITADELLE ROUGE DRY GIN 750ML,750ML,0,45.99,,,46010,OutofStock
6704,90900,SESSION RTD,YOJU VARIETY RTD 3/8 CANS - 12.0Z (8-Pack),8pk,0,22.99,,,46010,OutofStock
6705,356926,AMERICAN RED,DOUGH CABERNET SAUVIGNON - 750ML,750ML,0,22.99,,,46010,OutofStock
6706,54297,WINE CANS,WANDER WINE TROPICAL WHITE 6/4 CANS - 12.0Z (4-Pack),4pk,0,21.99,,,46010,OutofStock
6707,37826,IMPORTED CORDIALS,CARAVELLA ORANGECELLO - 750ML,750ML,0,18.99,,,46010,OutofStock
6708,167672,DOMESTIC GIN,RIEGERS MIDWESTERN DRY GIN 750ML,750ML,0,41.99,,,46010,OutofStock
6709,48291,AMERICAN WHITE,NEWTON UNFILTERED CHARD - 750ML,750ML,0,66.99,,,46010,OutofStock
6710,54296,WINE CANS,WANDER WINE PEACH CHARDONNAY 6/4 CANS - 12.0Z (4-Pack),4pk,0,21.99,,,46010,OutofStock
6711,76800,DOMESTIC VODKA FLAVORS,NEW AMSTERDAM VODKA - TANGERINE - 750ML,750ML,0,12.99,,,46010,OutofStock
6712,82722,AUSTRALIAN,YELLOW TAIL SUPER CRISP CHARD - 750ML,750ML,0,6.99,,,46010,OutofStock
6713,54298,WINE CANS,WANDER WINE CITRUS WHITE 6/4 CANS - 12.0Z (4-Pack),4pk,0,21.99,,,46010,OutofStock
6714,71416,IMPORTED VODKA FLAVORS,CIROC VODKA - APPLE - 1.75L,1.75L,0,56.99,,,46010,OutofStock
6715,348986,FRENCH BLUSH,CH PARADIS ROSE 17 - 750ML,750ML,0,19.99,,,46010,OutofStock
6716,32461,AMERICAN WHITE,KISTLER CHARD LES NOISETIER - 750ML,750ML,0,92.99,,,46010,OutofStock
6717,247435,FRENCH WHITE WINE,LIONEL OSMIN & CIE CLOS DE LA VIERGE LE CARRE DES PEES PETIT MANSANG JURANCON SE - 750ML,750ML,0,25.99,,,46010,OutofStock
6718,377695,GREEK,SKOURAS ASSYRTIKO - 750ML,750ML,0,24.99,,,46010,OutofStock
6719,171774,GEORGIAN WINE,CAUCASUS VALLEY PIROSMANI WHITE 750ML,750ML,0,15.99,,,46010,OutofStock
6720,32424,AMERICAN RED,KISTLER RUSSIAN RIVER P/NOIR - 750ML,750ML,0,97.99,,,46010,OutofStock
6721,171138,IMPORTED CORDIALS,ENOSIS MASTIHA 1L,1L,0,45.99,,,46010,OutofStock
6722,54295,DOMESTIC CAN BEER,BEER FARM BAY LIGHT LAGER 2/12PK CAN - 12.0Z (12-Pack),12pk,0,14.99,,,46010,OutofStock
6723,378099,SPANISH/PORTUGUESE,CUNE GRAN RESA RIOJA - 750ML,750ML,0,43.99,,,46010,OutofStock
6724,380591,ITALIAN WHITE WINE,TERZETTO GAVI - 750ML,750ML,0,21.99,,,46010,OutofStock
6725,47592,TEQUILA,1921 CREME DE TEQ - 750ML,750ML,0,38.99,,,46010,OutofStock
6726,312932,LOIRE VALLEY WINE,PERLE BLANCHE SANCERRE - 750ML,750ML,0,38.99,,,46010,OutofStock
6727,64689,DOMESTIC CAN BEER,DENIZENS CRITTER JUICY PALE ALE 4/6 CANS - 12.0Z (6-Pack),6pk,0,12.99,,,46010,OutofStock
6728,89343,LIQ BASED RTD,SOCIAL HOUR PINK PEPPERCORN PALOMA RTD 6/4PK - 250ML CN,250ML,0,6.99,,,46010,OutofStock
6729,32883,AUSTRALIAN,YALUMBA Y SERIES VIOG - 750ML,750ML,0,16.99,,,46010,OutofStock
6730,298588,AMERICAN RED,DECOY LIMITED ALEXANDER VALLEY RED BLEND 750ML,750ML,0,27.99,,,46010,OutofStock
6731,305174,ARGENTINA,FAMILIA ZUCCARDI SERIE A TORR - 750ML,750ML,0,17.99,,,46010,OutofStock
6732,348446,AMERICAN BLUSH,CHARLES SMITH BAND OF ROSES - 750ML,750ML,0,14.99,,,46010,OutofStock
6733,574675,BLENDED WHISKEY,FIREBALL CINNAMON WHISKY - 100ML,100ML,0,1.99,,,46010,OutofStock
6734,10356,DOMESTIC CAN BEER,TROEGS NUGGET NECTAR 4/6 CANS - 12.0Z (6-Pack),6pk,0,12.14,,,46010,OutofStock
6735,89946,BLENDED WHISKEY,PROOF AND WOOD VOTE WHISKEY GIFT 2PK (REPRESENTATIVE 4YR S/B/ SENATOR 6YR RYE) - - 750ML (2-Pack),2pk,0,116.99,,,46010,OutofStock
6736,45854,ARGENTINA,ANDELUNA MAL - 750ML,750ML,0,15.99,,,46010,OutofStock
6737,298589,AMERICAN RED,DECOY LIMITED SONOMA PINOT NOIR 750ML,750ML,0,27.99,,,46010,OutofStock
6738,296940,AMERICAN WHITE,DECOY LIMITED SONOMA CHARDONNAY 750ML,750ML,0,27.99,,,46010,OutofStock
6739,298089,AMERICAN RED,DECOY LIMITED ALEXANDER VALLEY MERLOT - 750ML,750ML,0,27.99,,,46010,OutofStock
6740,57505,STRAIGHT RYE WHISKEY,RITTENHOUSE RYE - 750ML BARREL PICK- 8647809,750ML,0,22.99,,,46010,OutofStock
6741,89416,TEQUILA,CORAZON BLANCO TEQUILA - 375ML,375ML,0,15.99,,,46010,OutofStock
6742,379208,IMPORTED GIN,MIRABEAU RIVIERA DRY ROSE GIN 86 PF - 750ML,750ML,0,41.99,,,46010,OutofStock
6743,71259,IMPORTED RUM FLAVORS,CAPTAIN MORGAN RUM - PINEAPPLE - 750ML,750ML,0,17.99,,,46010,OutofStock
6744,344416,SPARKLING,90+ CELLARS LOT 50 PROSECCO - 187ML (3-Pack),3pk,0,11.37,,,46010,OutofStock
6745,89055,TEQUILA,PATRON REPOSADO W/2 ROCKS GLASSES - 750ML,750ML,0,49.99,,,46010,OutofStock
6746,15580,TEQUILA,TEREMANA ANEJO TEQUILA 750ML,750ML,0,41.99,,,46010,OutofStock
6747,42998,FRENCH BLUSH,STUDIO ROSE BY MIRAVAL - 750ML,750ML,0,19.99,,,46010,OutofStock
6748,11215,AMERICAN RED,BLACK BOX SHIRAZ 6/CS - 3L,3L,0,21.99,,,46010,OutofStock
6749,89335,LIQ BASED RTD,SOCIAL HOUR CUCUMBER MATCHA MOJITO RTD 6/4PK - 250ML CN,250ML,0,6.99,,,46010,OutofStock
6750,89348,LIQ BASED RTD,SOCIAL HOUR PASSIONFRUIT PACIFIC SPRITZ RTD 6/4PK - 250ML CN,250ML,0,6.99,,,46010,OutofStock
6751,89341,LIQ BASED RTD,SOCIAL HOUR YUZU SUNSET FIZZ RTD 6/4PK - 250ML CN,250ML,0,6.99,,,46010,OutofStock
6752,15331,TEQUILA,TEREMANA TEQUILA REPOSADO 1.75L,1.75L,0,73.99,,,46010,OutofStock
6753,359888,AMERICAN RED,IRONSIDE NAPA CABERNET SAUVIGNON - 750ML,750ML,0,11.99,,,46010,OutofStock
6754,17481,AMERICAN RED,VINT CALIFORNIA MERLOT BY R MONDAVI 1.5L,1.5L,0,21.99,,,46010,OutofStock
6755,43195,AMERICAN RED,ANNABELLA NAPA CAB - 750ML,750ML,0,30.99,,,46010,OutofStock
6756,328745,AMERICAN RED,CHERRY PIE THREE VYDS P/NOIR - 750ML,750ML,0,22.99,,,46010,OutofStock
6757,368976,NON-ALCOHOLIC WINE,GIESEN ZERO RED BLEND - 750ML,750ML,0,16.99,,,46010,OutofStock
6758,51510,TEQUILA,DON JULIO TEQUILA - ANEJO - 375ML,375ML,0,35.99,,,46010,OutofStock
6759,89411,PRE-MIX COCKTAILS,MIDNIGHT BEAN ESPRESSO MARTINI - 750ML,750ML,0,24.99,,,46010,OutofStock
6760,42871,ITALIAN RED WINE,MASSOLINO BAROLO - 750ML,750ML,0,58.99,,,46010,OutofStock
6761,51637,DOMESTIC LIQUOR SPECIALTY,JACK DANIELS TENNESSEE HONEY W/GLASS - 750ML,750ML,0,26.99,,,46010,OutofStock
6762,329026,AMERICAN WHITE,CANNONBALL CHARD - 750ML,750ML,0,13.99,,,46010,OutofStock
6763,89332,LIQ BASED RTD,SOCIAL HOUR NAVY STRENGTH GIN & TONIC RTD 6/4PK - 250ML CN,250ML,0,6.99,,,46010,OutofStock
6764,73612,DOMESTIC LIQUOR SPECIALTY,JACK DANIELS TENNESSEE FIRE W/GLS - 750ML,750ML,0,25.99,,,46010,OutofStock
6765,89338,LIQ BASED RTD,SOCIAL HOUR WHISKEY MULE RTD 6/4PK - 250ML CN,250ML,0,6.99,,,46010,OutofStock
6766,89040,LIQ BASED RTD,BUZZBALLZ COCKTAILS PASSIONFRUIT MARTINI - 200ML,200ML,0,3.99,,,46010,OutofStock
6767,377724,AMERICAN WHITE,LINDEN VILLAGE CHARD - 750ML,750ML,0,34.99,,,46010,OutofStock
6768,72687,SESSION RTD,DEEP EDDY  VODKA & SODA VARIETY - RTD - 12.0Z (6-Pack),6pk,0,19.99,,,46010,OutofStock
6769,167980,NON-ALCOHOLIC WINE,GIESEN ZERO PINOT GRIS 750ML,750ML,0,16.99,,,46010,OutofStock
6770,89038,LIQ BASED RTD,BUZZBALLZ COCKTAILS ESPRESSO MARTINI - 200ML,200ML,0,3.99,,,46010,OutofStock
6771,63871,DOMESTIC CAN BEER,SIERRA NEVADA SUMMERFEST 2/12 CANS - 12.0Z (12-Pack),12pk,0,19.99,,,46010,OutofStock
6772,15333,TEQUILA,TEREMANA TEQUILA BLANCO 1.75L,1.75L,0,69.99,,,46010,OutofStock
6773,164437,NON-ALCOHOLIC MIXERS,FINEST CALL ORGEAT - 1LTR,1LTR,0,6.99,,,46010,OutofStock
6774,89355,TEQUILA,PATRON SILVER W/2 HIGHBALL GLASSES - 750ML,750ML,0,45.99,,,46010,OutofStock
6775,76779,IMPORTED CORDIALS,CARAVELLA LIMONCELLO - 50ML,50ML,0,0.89,,,46010,OutofStock
6776,13907,DOMESTIC CAN BEER,ARNOLD PALMER SPIKED ICE TEA 12/24OZ CAN - 24.0Z (1-Pack),1pk,0,2.77,,,46010,OutofStock
6777,368830,FRENCH BLUSH,CH DE CAMPUGET ROSE - 750ML,750ML,0,13.99,,,46010,OutofStock
