RecordID,Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date,SnapshotDate
180,367960,WINE CANS,CANPAGNE ROSE CAN - 355ML,355ML,0,5.99,,,46008
181,247463,NON-ALCOHOLIC WINE,TOST SPARK WHITE NA - 750ML,750ML,0,9.99,,,46008
182,92187,AMERICAN WHITE,SEA MONSTER TIDAL WAVE WHITE 750ML,750ML,0,19.99,,,46008
183,117,STORE SUPPLIES,WHISKEY TASTING JOURNAL - BAG,BAG,200,4.99,,,46008
184,51705,AMERICAN RED,EDNA VALLEY MER - 750ML,750ML,0,14.99,,,46008
185,372072,NON-ALCOHOLIC MIXERS,REAL PEACH INFUSED SYRUP 50ML - 500ML,500ML,0,6.99,,,46008
186,368756,ARGENTINA,CATENA SEMILLON CHENIN WHITE CLAY - 750ML (1 Bottle),750ML,0,24.99,18.99,46022,46008
187,86029,KOSHER,BARON HERZOG CAB - 750ML,750ML,324,13.99,,,46008
188,75078,AMERICAN WHITE,BERINGER FOUNDERS EST CHARD - 1.5L,1.5L,0,20.99,,,46008
189,41840,IMPORTED VODKA FLAVORS,VAN GOGH VODKA - CHOCOLATE - 750ML,750ML,0,23.99,,,46008
190,80091,AMERICAN WHITE,ALMADEN MOSCATO - 5L,5L,0,23.99,,,46008
191,77744,DOMESTIC CAN BEER,DEVILS BACKBONE 8 POINT AMERICAN IPA 4/6CN - 12.0Z (6-Pack),6pk,0,12.99,,,46008
192,71823,DOMESTIC VODKA FLAVORS,NEW AMSTERDAM VODKA -  GRAPEFRUIT - 1.75L,1.75L,276,21.99,,,46008
193,54457,IMPORTED CORDIALS,BAILEYS CHOCOLATE - 50ML,50ML,0,3.99,,,46008
194,29696,IMPORTED VODKA,KETEL ONE VODKA - 50ML,50ML,0,2.69,,,46008
195,248192,AMERICAN RED,OPUS ONE 2021 750ML,750ML,0,464.99,,,46008
196,171963,STRAIGHT BOURBON WHISKEY,SAGAMORE HIGH RYE BOURBON 750ML,750ML,0,47.99,,,46008
197,367522,GREEK,AVANTIS SAUVIGNON BLANC - 750ML,750ML,0,17.99,,,46008
198,248021,STRAIGHT RYE WHISKEY,LIMAVADY IRISH WHISKEY SINGLE BARREL 700ML,700ML,0,49.99,,,46008
199,241728,STRAIGHT BOURBON WHISKEY,RABBIT HOLE HEIGOLD STRAIGHT BRBN WHISKEY - 750ML,750ML,0,44.99,,,46008
200,76798,DOMESTIC VODKA FLAVORS,NEW AMSTERDAM VODKA -TANGERINE - 1.75L (1 Bottle),1.75L,0,21.99,17.99,46022,46008
201,19037,LIQ BASED RTD,BATCH & BOTTLE MILAGRO MARGARITA RTD 375ML (1 Bottle),375ML,0,15.99,12.99,46022,46008
202,96199,IMPORTED BOTTLE BEER,DOS EQUIS AMBER BEER 4/6 NR - 12.0Z (6-Pack),6pk,3336,9.99,,,46008
203,10436,DOMESTIC CAN BEER,OSKAR BLUES DALES PALE ALE 4/6 CAN - 12.0Z (6-Pack),6pk,3576,13.99,,,46008
204,44929,AMERICAN RED,SILVER PALM CAB - 750ML (1 Bottle),750ML,660,18.99,16.99,46022,46008
205,18607,SESSION RTD,TENTH WARD QUEEN BEE'S KNEES RTD 6/4 CANS - 250ML (4-Pack),4pk,0,12.99,,,46008
206,88642,CANADIAN WHISKEY,CROWN ROYAL - PEACH - 50ML,50ML,0,2.79,,,46008
207,41300,IMPORTED BRANDY,RAYNAL BRAND VSOP - 1.75L,1.75L,210,26.99,,,46008
208,85432,SPARKLING,LA MARCA PROSECCO - 187ML,187ML,1536,6.99,,,46008
